LOINC_NUM,COMPONENT,PROPERTY,TIME_ASPCT,SYSTEM,SCALE_TYP,METHOD_TYP,CLASS,VersionLastChanged,CHNG_TYPE,DefinitionDescription,STATUS,CONSUMER_NAME,CLASSTYPE,FORMULA,EXMPL_ANSWERS,SURVEY_QUEST_TEXT,SURVEY_QUEST_SRC,UNITSREQUIRED,RELATEDNAMES2,SHORTNAME,ORDER_OBS,HL7_FIELD_SUBFIELD_ID,EXTERNAL_COPYRIGHT_NOTICE,EXAMPLE_UNITS,LONG_COMMON_NAME,EXAMPLE_UCUM_UNITS,STATUS_REASON,STATUS_TEXT,CHANGE_REASON_PUBLIC,COMMON_TEST_RANK,COMMON_ORDER_RANK,HL7_ATTACHMENT_STRUCTURE,EXTERNAL_COPYRIGHT_LINK,PanelType,AskAtOrderEntry,AssociatedObservations,VersionFirstReleased,ValidHL7AttachmentRequest,DisplayName
100000-9,Health informatics pioneer and the father of LOINC,Hx,Pt,^Patient,Nar,,H&P.HX,2.74,ADD,"This term honors the long-standing contributions of Dr. Clement J. McDonald, the founder of LOINC and health informatics pioneer. Dr. McDonald's dedication, innovation, and hands-on contributions helped develop and continually improve medical informatics and health data standards.",ACTIVE,,2,,,,,N,Clem McDonald; Dr. Clement J. McDonald Jr.; H+P; H+P.HX; Health Info Pioneer+Father of LOINC; History; Honorary; Logical Observation Identifiers Names and Codes; Narrative; P prime; Point in time; Random; Report,Health Info Pioneer+Father of LOINC,Observation,,,,Health informatics pioneer and the father of LOINC,,,,,0,0,,,,,,2.74,,
100001-7,Health informatics pioneer and cofounder of LOINC,Hx,Pt,^Patient,Nar,,H&P.HX,2.74,ADD,"This term honors the extraordinary and impactful contributions of Dr. Stanley M. Huff to health data standards, including being one of the original co-creators of LOINC and serving as the Chair of the LOINC Clinical Committee since its inception. Dr. Huff is a renowned expert in representation of medical information in database systems and use of standards for the exchange of data between medical computer systems.",ACTIVE,,2,,,,,N,Dr. Stanley M. Huff; H+P; H+P.HX; Health Info Pioneer+Cofound LOINC; History; Honorary; Logical Observation Identifiers Names and Codes; Narrative; P prime; Point in time; Random; Report; Stan Huff,Health Info Pioneer+Cofound LOINC,Observation,,,,Health informatics pioneer and cofounder of LOINC,,,,,0,0,,,,,,2.74,,
100002-5,Specimen care is maintained,Find,Pt,^Patient,Ord,,SURVEY.PNDS,2.72,ADD,,ACTIVE,,4,,,,,N,Finding; Findings; Ordinal; Point in time; QL; Qual; Qualitative; Random; Screen; Spec; Survey; SURVEY.PNDS,,Observation,,,,Specimen care is maintained,,,,,0,0,,,,,,2.72,,
100003-3,Team communication is maintained throughout care,Find,Pt,^Patient,Ord,,SURVEY.PNDS,2.72,ADD,,ACTIVE,,4,,,,,N,Finding; Findings; Ordinal; Point in time; QL; Qual; Qualitative; Random; Screen; Survey; SURVEY.PNDS,,Observation,,,,Team communication is maintained throughout care,,,,,0,0,,,,,,2.72,,
100004-1,Demonstrates knowledge of the expected psychosocial responses to the procedure,Find,Pt,^Patient,Ord,,SURVEY.PNDS,2.72,ADD,,ACTIVE,,4,,,,,N,Finding; Findings; Ordinal; Point in time; QL; Qual; Qualitative; Random; Screen; Survey; SURVEY.PNDS,,Observation,,,,Demonstrates knowledge of the expected psychosocial responses to the procedure,,,,,0,0,,,,,,2.72,,
100005-8,Demonstrates knowledge of nutritional management related to the procedure,Find,Pt,^Patient,Ord,,SURVEY.PNDS,2.72,ADD,,ACTIVE,,4,,,,,N,Finding; Findings; Ordinal; Point in time; QL; Qual; Qualitative; Random; Screen; Survey; SURVEY.PNDS,,Observation,,,,Demonstrates knowledge of nutritional management related to the procedure,,,,,0,0,,,,,,2.72,,
100006-6,Demonstrates knowledge of medication management,Find,Pt,^Patient,Ord,,SURVEY.PNDS,2.72,ADD,,ACTIVE,,4,,,,,N,Finding; Findings; Ordinal; Point in time; QL; Qual; Qualitative; Random; Screen; Survey; SURVEY.PNDS,,Observation,,,,Demonstrates knowledge of medication management,,,,,0,0,,,,,,2.72,,
100007-4,Demonstrates knowledge of pain management,Find,Pt,^Patient,Ord,,SURVEY.PNDS,2.72,ADD,,ACTIVE,,4,,,,,N,Finding; Findings; Ordinal; Point in time; QL; Qual; Qualitative; Random; Screen; Survey; SURVEY.PNDS,,Observation,,,,Demonstrates knowledge of pain management,,,,,0,0,,,,,,2.72,,
10000-8,R wave duration.lead AVR,Time,Pt,Heart,Qn,EKG,EKG.MEAS,2.48,MIN,,ACTIVE,,2,,,,,Y,Cardiac; Cardio; Cardiology; Durat; ECG; EKG.MEASUREMENTS; Electrocardiogram; Electrocardiograph; Heart Disease; Hrt; Painter's colic; PB; Plumbism; Point in time; QNT; Quan; Quant; Quantitative; R prime; R' wave dur L-AVR; R wave dur L-AVR; Random; Right,R wave dur L-AVR,Observation,,,s,R wave duration in lead AVR,s,,,,0,0,,,,,,1.0i,,
100008-2,Demonstrates knowledge of wound management,Find,Pt,^Patient,Ord,,SURVEY.PNDS,2.72,ADD,,ACTIVE,,4,,,,,N,Finding; Findings; Ordinal; Point in time; QL; Qual; Qualitative; Random; Screen; Survey; SURVEY.PNDS,,Observation,,,,Demonstrates knowledge of wound management,,,,,0,0,,,,,,2.72,,
100009-0,Demonstrates knowledge of the procedure and expected results,Find,Pt,^Patient,Ord,,SURVEY.PNDS,2.72,ADD,,ACTIVE,,4,,,,,N,Finding; Findings; Ordinal; Point in time; QL; Qual; Qualitative; Random; Screen; Survey; SURVEY.PNDS,,Observation,,,,Demonstrates knowledge of the procedure and expected results,,,,,0,0,,,,,,2.72,,
100010-8,"No injury related to procedure equipment, medical supplies, or instrumentation",Find,Pt,^Patient,Ord,,SURVEY.PNDS,2.72,ADD,,ACTIVE,,4,,,,,N,Finding; Findings; Ordinal; Point in time; QL; Qual; Qualitative; Random; Screen; Survey; SURVEY.PNDS; Ulcer,,Observation,,,,"No injury related to procedure equipment, medical supplies, or instrumentation",,,,,0,0,,,,,,2.72,,
100011-6,No injury related to an electrical source,Find,Pt,^Patient,Ord,,SURVEY.PNDS,2.72,ADD,,ACTIVE,,4,,,,,N,Finding; Findings; Ordinal; Point in time; QL; Qual; Qualitative; Random; Screen; Srce; Survey; SURVEY.PNDS; Ulcer,,Observation,,,,No injury related to an electrical source,,,,,0,0,,,,,,2.72,,
100012-4,Participates in decisions affecting the patient's plan of care,Find,Pt,^Patient,Ord,,SURVEY.PNDS,2.72,ADD,,ACTIVE,,4,,,,,N,Finding; Findings; Ordinal; Point in time; QL; Qual; Qualitative; Random; S prime; Screen; Survey; SURVEY.PNDS,,Observation,,,,Participates in decisions affecting the patient's plan of care,,,,,0,0,,,,,,2.72,,
100013-2,Participates in the discharge process,Find,Pt,^Patient,Ord,,SURVEY.PNDS,2.72,ADD,,ACTIVE,,4,,,,,N,Disch; Finding; Findings; Ordinal; Point in time; QL; Qual; Qualitative; Random; Screen; Survey; SURVEY.PNDS,,Observation,,,,Participates in the discharge process,,,,,0,0,,,,,,2.72,,
100014-0,Psychosocial health is maintained at or improved from baseline,Find,Pt,^Patient,Ord,,SURVEY.PNDS,2.72,ADD,,ACTIVE,,4,,,,,N,Finding; Findings; Ordinal; Point in time; QL; Qual; Qualitative; Random; Screen; Survey; SURVEY.PNDS,,Observation,,,,Psychosocial health is maintained at or improved from baseline,,,,,0,0,,,,,,2.72,,
100015-7,No injury related to positioning due to care or procedure,Find,Pt,^Patient,Ord,,SURVEY.PNDS,2.72,ADD,,ACTIVE,,4,,,,,N,Finding; Findings; Ordinal; Point in time; QL; Qual; Qualitative; Random; Screen; Survey; SURVEY.PNDS; Ulcer,,Observation,,,,No injury related to positioning due to care or procedure,,,,,0,0,,,,,,2.72,,
10001-6,R wave duration.lead I,Time,Pt,Heart,Qn,EKG,EKG.MEAS,2.48,MIN,,ACTIVE,,2,,,,,Y,Cardiac; Cardio; Cardiology; Durat; ECG; EKG.MEASUREMENTS; Electrocardiogram; Electrocardiograph; Heart Disease; Hrt; Painter's colic; PB; Plumbism; Point in time; QNT; Quan; Quant; Quantitative; R prime; R' wave dur L-I; R wave dur L-I; Random; Right,R wave dur L-I,Observation,,,s,R wave duration in lead I,s,,,,0,0,,,,,,1.0i,,
100016-5,No injury related to a laser source,Find,Pt,^Patient,Ord,,SURVEY.PNDS,2.72,ADD,,ACTIVE,,4,,,,,N,Finding; Findings; Ordinal; Point in time; QL; Qual; Qualitative; Random; Screen; Srce; Survey; SURVEY.PNDS; Ulcer,,Observation,,,,No injury related to a laser source,,,,,0,0,,,,,,2.72,,
100017-3,Perioperative nursing data set outcomes panel,-,Pt,^Patient,-,PNDS,PANEL.SURVEY.PNDS,2.72,ADD,"The Perioperative Nursing Data Set (PNDS) outcomes developed by the Association of periOperative Registered Nurses (AORN) are used to assess currently five domains in perioperative care, including safety, physiologic responses, patient and family behavioral responses for knowledge/psychosocial, patient and family behavioral responses for rights/ethics/competency, and health system. The PNDS comprises of data elements and definitions and is used by nurses and clinicians involved in the field of perioperative care. The set of outcomes has evolved over time to address emerging issues and changes in practice.[PMID: 10429784][PMID: 21193085]",ACTIVE,,4,,,,,N,Pan; Panl; PNDS outcomes panel; Pnl; Point in time; Random; Survey; SURVEY.PNDS,,Order,,"©AORN Syntegrity, Inc. Used with permission.Commercial or facility use requires a license from AORN Syntegrity or an authorized reseller.",,Perioperative nursing data set outcomes panel [PNDS],,,,,0,0,,PNDS,Panel,,,2.72,,
100018-1,Note,Find,Pt,{Setting},Doc,Hospice care,DOC.ONTOLOGY,2.72,ADD,,ACTIVE,,2,,,,,N,Continuity assessment record and evaluation; DOC.ONT; Document; Encounter; Evaluation and management; Evaluation and management note; Finding; Findings; notes; Point in time; Random; Visit note,Hospice care Note,Both,,,,Hospice care Note,,,,,0,0,,,,,,2.72,,
100019-9,ALK gene targeted mutation analysis,Prid,Pt,Bld/Tiss,Nom,Molgen,MOLPATH.MUT,2.72,ADD,,ACTIVE,,1,,,,,N,"ALK receptor tyrosine kinase; Anaplastic lymphoma kinase (Ki-1); Blood; Identity or presence; Molecular genetics; Molecular pathology; MOLPATH; MOLPATH.MUTATIONS; Mut; Mut Anl; Mutations; NBLST3; Nominal; PCR; Point in time; Random; Tissue; Tissue, unspecified; WB; Whole blood; Whole blood or Tissue",ALK gene Mut Anl Bld/T,Both,,,,ALK gene mutations found [Identifier] in Blood or Tissue by Molecular genetics method Nominal,,,,,0,0,,,,,,2.72,,ALK gene targeted mutation analysis Molgen Nom (Bld/Tiss)
100020-7,GNA11 gene targeted mutation analysis,Prid,Pt,Bld/Tiss,Nom,Molgen,MOLPATH.MUT,2.72,ADD,,ACTIVE,,1,,,,,N,"Blood; FBH; FBH2; FHH2; G protein subunit alpha 11; GNA-11; HHC2; HYPOC2; Identity or presence; Molecular genetics; Molecular pathology; MOLPATH; MOLPATH.MUTATIONS; Mut; Mut Anl; Mutations; Nominal; PCR; Point in time; Random; Tissue; Tissue, unspecified; WB; Whole blood; Whole blood or Tissue",GNA11 gene Mut Anl Bld/T,Both,,,,GNA11 gene mutations found [Identifier] in Blood or Tissue by Molecular genetics method Nominal,,,,,0,0,,,,,,2.72,,GNA11 gene targeted mutation analysis Molgen Nom (Bld/Tiss)
100021-5,GNAQ gene targeted mutation analysis,Prid,Pt,Bld/Tiss,Nom,Molgen,MOLPATH.MUT,2.72,ADD,,ACTIVE,,1,,,,,N,"Blood; CMC1; G protein subunit alpha q; G-ALPHA-q; GAQ; Identity or presence; Molecular genetics; Molecular pathology; MOLPATH; MOLPATH.MUTATIONS; Mut; Mut Anl; Mutations; Nominal; PCR; Point in time; Random; SWS; Tissue; Tissue, unspecified; WB; Whole blood; Whole blood or Tissue",GNAQ gene Mut Anl Bld/T,Both,,,,GNAQ gene mutations found [Identifier] in Blood or Tissue by Molecular genetics method Nominal,,,,,0,0,,,,,,2.72,,GNAQ gene targeted mutation analysis Molgen Nom (Bld/Tiss)
100022-3,IDH1 gene targeted mutation analysis,Prid,Pt,Bld/Tiss,Nom,Molgen,MOLPATH.MUT,2.72,ADD,,ACTIVE,,1,,,,,N,"Blood; HEL-216; HEL-S-26; IDCD; Identity or presence; IDPC; isocitrate dehydrogenase (NADP(+)) 1, cytosolic; Molecular genetics; Molecular pathology; MOLPATH; MOLPATH.MUTATIONS; Mut; Mut Anl; Mutations; Nominal; PCR; PICD; Point in time; Random; Tissue; Tissue, unspecified; WB; Whole blood; Whole blood or Tissue",IDH1 gene Mut Anl Bld/T,Both,,,,IDH1 gene mutations found [Identifier] in Blood or Tissue by Molecular genetics method Nominal,,,,,0,0,,,,,,2.72,,IDH1 gene targeted mutation analysis Molgen Nom (Bld/Tiss)
