LoincNumber,LongCommonName,AnswerListId,AnswerListName,AnswerListLinkType,ApplicableContext
101331-7,"MDS v3.0 - RAI v1.18.11 - Ulcers, wounds and skin problems during assessment period [CMS Assessment]",LL4583-2,"CMS_MDS Ulcers, wounds, and skin problems",NORMATIVE,
101332-5,MDS v3.0 - RAI v1.18.11 - Reason referral to local contact agency not made [CMS Assessment],LL6302-5,Reason Referral to Local Contact Agency - CMS,NORMATIVE,101105-5
101332-5,MDS v3.0 - RAI v1.18.11 - Reason referral to local contact agency not made [CMS Assessment],LL6302-5,Reason Referral to Local Contact Agency - CMS,NORMATIVE,103564-1
101332-5,MDS v3.0 - RAI v1.18.11 - Reason referral to local contact agency not made [CMS Assessment],LL6302-5,Reason Referral to Local Contact Agency - CMS,NORMATIVE,104552-5
101332-5,MDS v3.0 - RAI v1.18.11 - Reason referral to local contact agency not made [CMS Assessment],LL6302-5,Reason Referral to Local Contact Agency - CMS,NORMATIVE,104554-1
101332-5,MDS v3.0 - RAI v1.18.11 - Reason referral to local contact agency not made [CMS Assessment],LL6302-5,Reason Referral to Local Contact Agency - CMS,NORMATIVE,104606-9
101332-5,MDS v3.0 - RAI v1.18.11 - Reason referral to local contact agency not made [CMS Assessment],LL6302-5,Reason Referral to Local Contact Agency - CMS,NORMATIVE,104607-7
101332-5,MDS v3.0 - RAI v1.18.11 - Reason referral to local contact agency not made [CMS Assessment],LL6302-5,Reason Referral to Local Contact Agency - CMS,NORMATIVE,104609-3
101333-3,MDS v3.0 - RAI v1.18.11 - Determination of pressure injury risk [CMS Assessment],LL4975-0,CMS MDS Pressure injury risk,NORMATIVE,
101335-8,Etizolam [Presence] in Urine by Confirmatory method,LL744-4,Detected|Not det,EXAMPLE,
101336-6,Wr sup(b) Ag [Presence] on Red Blood Cells,LL360-9,Pos|Neg,EXAMPLE,
101340-8,Aeromonas sp DNA [Presence] in Stool by NAA with probe detection,LL744-4,Detected|Not det,EXAMPLE,
101345-7,Candida krusei DNA [Presence] in Specimen by NAA with probe detection,LL744-4,Detected|Not det,EXAMPLE,
101349-9,Jurisdiction where advance directive is accepted [Location],LL6313-2,Jurisdiction,PREFERRED,
101351-5,"Has lack of transportation kept you from medical appointments, meetings, work, or from getting things needed for daily living during assessment period [CMS Assessment]",LL6295-1,Lack of Transportation,NORMATIVE,
101351-5,"Has lack of transportation kept you from medical appointments, meetings, work, or from getting things needed for daily living during assessment period [CMS Assessment]",LL6509-5,Transportation - CMS,NORMATIVE,103949-4
101351-5,"Has lack of transportation kept you from medical appointments, meetings, work, or from getting things needed for daily living during assessment period [CMS Assessment]",LL6509-5,Transportation - CMS,NORMATIVE,93128-7
101353-1,Borrelia burgdorferi Ab [Interpretation] in Serum Qualitative by IA.MTTT,LL744-4,Detected|Not det,EXAMPLE,
101354-9,Borrelia afzelii+burgdorferi+garinii IgG+IgM Ab [Presence] in Serum by Immunoassay,LL2009-0,Pos|Neg|Equiv,EXAMPLE,
101355-6,Borrelia afzelii+burgdorferi+garinii IgM Ab [Presence] in Serum by Immunoassay,LL2009-0,Pos|Neg|Equiv,EXAMPLE,
101356-4,Borrelia afzelii+burgdorferi+garinii Ab [Interpretation] in Serum by IA.MTTT,LL2009-0,Pos|Neg|Equiv,EXAMPLE,
101357-2,Borrelia burgdorferi.VlsE+OspC IgG+IgM Ab [Presence] in Serum by Immunoassay,LL2009-0,Pos|Neg|Equiv,EXAMPLE,
101358-0,Borrelia burgdorferi Ab [Interpretation] in Serum by IA.MTTT,LL6315-7,Lymes MTTT Imp,EXAMPLE,
101360-6,Bacillus anthracis plasmid pXO1 DNA [Presence] in Blood by NAA with non-probe detection,LL6314-0,Detected|Not det|Invalid,EXAMPLE,
101361-4,Bacillus anthracis plasmid pXO2 DNA [Presence] in Blood by NAA with non-probe detection,LL6314-0,Detected|Not det|Invalid,EXAMPLE,
101362-2,Bacillus anthracis DNA [Presence] in Blood by NAA with non-probe detection,LL6314-0,Detected|Not det|Invalid,EXAMPLE,
101363-0,Yersinia pestis DNA [Presence] in Blood by NAA with non-probe detection,LL6314-0,Detected|Not det|Invalid,EXAMPLE,
101364-8,Francisella tularensis DNA [Presence] in Blood by NAA with non-probe detection,LL6314-0,Detected|Not det|Invalid,EXAMPLE,
101365-5,Coxiella burnetii DNA [Presence] in Blood by NAA with non-probe detection,LL6314-0,Detected|Not det|Invalid,EXAMPLE,
101366-3,Ebola virus RNA [Presence] in Blood by NAA with non-probe detection,LL6314-0,Detected|Not det|Invalid,EXAMPLE,
101367-1,Marburg virus RNA [Presence] in Blood by NAA with non-probe detection,LL6314-0,Detected|Not det|Invalid,EXAMPLE,
101368-9,Bacillus anthracis DNA [Presence] by NAA with non-probe detection in Positive blood culture,LL6314-0,Detected|Not det|Invalid,EXAMPLE,
101369-7,Bacillus anthracis plasmid pXO1 DNA [Presence] by NAA with non-probe detection in Positive blood culture,LL6314-0,Detected|Not det|Invalid,EXAMPLE,
101370-5,Bacillus anthracis plasmid pXO2 DNA [Presence] by NAA with non-probe detection in Positive blood culture,LL6314-0,Detected|Not det|Invalid,EXAMPLE,
101371-3,Yersinia pestis DNA [Presence] by NAA with non-probe detection in Positive blood culture,LL6314-0,Detected|Not det|Invalid,EXAMPLE,
101372-1,Yersinia pestis DNA [Presence] in Sputum by NAA with non-probe detection,LL6314-0,Detected|Not det|Invalid,EXAMPLE,
101373-9,Francisella tularensis DNA [Presence] in Sputum by NAA with non-probe detection,LL6314-0,Detected|Not det|Invalid,EXAMPLE,
101374-7,MDS v3.0 - RAI v1.18.11 - Referral has been made to the local contact agency Patient education material [CMS Assessment],LL251-0,OASIS_M0200,NORMATIVE,
101394-5,Sex [Type] in Embryo by Molecular genetics method,LL1-9,Gender_M/F,EXAMPLE,
101399-4,Monkeypox virus and Orthopoxvirus.non-variola DNA [Identifier] in Specimen by NAA with probe detection,LL6316-5,Monkeypox virus & Orthopoxvirus.non-variola,EXAMPLE,
101400-0,"Metanephrine, Normetanephrine, 3-Methoxytyramine panel - 24 hour Urine",LL744-4,Detected|Not det,EXAMPLE,
101401-8,Tapentadol and Nortapentadol panel - Urine,LL744-4,Detected|Not det,EXAMPLE,
101402-6,Phenylalanine and Tyrosine panel - Serum or Plasma,LL744-4,Detected|Not det,EXAMPLE,
101403-4,Borrelia burgdorferi.VlsE1+pepC10 IgG+IgM Ab [Presence] in Serum by Immunoassay,LL2009-0,Pos|Neg|Equiv,EXAMPLE,
101406-7,Sudan virus RNA [Presence] in Blood by NAA with probe detection,LL3250-9,Detected|Not det|Inconcl|Spec unsat for eval,EXAMPLE,
101408-3,Deprecated Sesamum indicum 1 IgE Ab RAST class [Presence] in Serum,LL1927-4,RAST,EXAMPLE,
101419-0,Human coronavirus 229E RNA [Presence] in Respiratory system specimen by NAA with probe detection,LL744-4,Detected|Not det,EXAMPLE,
101420-8,Human coronavirus HKU1 RNA [Presence] in Respiratory system specimen by NAA with probe detection,LL744-4,Detected|Not det,EXAMPLE,
101421-6,Human coronavirus NL63 RNA [Presence] in Respiratory system specimen by NAA with probe detection,LL744-4,Detected|Not det,EXAMPLE,
101422-4,Human coronavirus OC43 RNA [Presence] in Respiratory system specimen by NAA with probe detection,LL744-4,Detected|Not det,EXAMPLE,
101423-2,Influenza virus A H1 RNA [Presence] in Respiratory system specimen by NAA with probe detection,LL744-4,Detected|Not det,EXAMPLE,
101424-0,Influenza virus A H3 RNA [Presence] in Respiratory system specimen by NAA with probe detection,LL744-4,Detected|Not det,EXAMPLE,
101425-7,Respiratory syncytial virus A RNA [Presence] in Respiratory system specimen by NAA with probe detection,LL744-4,Detected|Not det,EXAMPLE,
101426-5,Respiratory syncytial virus B RNA [Presence] in Respiratory system specimen by NAA with probe detection,LL744-4,Detected|Not det,EXAMPLE,
101427-3,Shigella sp DNA [Presence] in Stool by NAA with probe detection,LL744-4,Detected|Not det,EXAMPLE,
101428-1,Varicella zoster virus DNA [Presence] in Respiratory system specimen by NAA with probe detection,LL744-4,Detected|Not det,EXAMPLE,
101439-8,Change in mental status,LL6318-1,Observed|Not observed,EXAMPLE,
101439-8,Change in mental status,LL6320-7,Champs Mental status,NORMATIVE,101438-0
101440-6,History of Falls,LL6318-1,Observed|Not observed,EXAMPLE,
101440-6,History of Falls,LL6324-9,Champs Fall Hx,NORMATIVE,101438-0
101440-6,History of Falls,LL6329-8,Schmid fall,NORMATIVE,101549-4
101441-4,CHAMPS pediatric fall risk assessment [Interpretation],LL6332-2,Champs Imp,NORMATIVE,
101444-8,Solitary lung nod malignancy risk [Scale] Qualitative by Calculated.Nodify XL2,LL3198-0,High risk|Intermediate risk|Low risk,EXAMPLE,
101445-5,Solitary lung nod malignancy risk [Scale] Qualitative by Calculated.Nodify CDT,LL3198-0,High risk|Intermediate risk|Low risk,EXAMPLE,
101448-9,Contactin-associated protein 1 IgG Ab [Presence] in Serum or Plasma by Cell binding immunofluorescent assay,LL360-9,Pos|Neg,EXAMPLE,
101449-7,Neurochondrin Ab [Presence] in Cerebral spinal fluid by Cell binding immunofluorescent assay,LL360-9,Pos|Neg,EXAMPLE,
101450-5,Neurochondrin Ab [Presence] in Serum or Plasma by Cell binding immunofluorescent assay,LL360-9,Pos|Neg,EXAMPLE,
101451-3,Neurochondrin Ab [Presence] in Cerebral spinal fluid by Immunofluorescence,LL360-9,Pos|Neg,EXAMPLE,
101452-1,Neurochondrin Ab [Presence] in Serum or Plasma by Immunofluorescence,LL360-9,Pos|Neg,EXAMPLE,
101460-4,Septin-5 IgG Ab [Presence] in Serum or Plasma by Immunofluorescence,LL360-9,Pos|Neg,EXAMPLE,
101461-2,Septin-5 IgG Ab [Presence] in Cerebral spinal fluid by Immunofluorescence,LL360-9,Pos|Neg,EXAMPLE,
101462-0,Septin-5 IgG Ab [Presence] in Cerebral spinal fluid by Cell binding immunofluorescent assay,LL360-9,Pos|Neg,EXAMPLE,
101463-8,Septin-5 IgG Ab [Presence] in Serum or Plasma by Cell binding immunofluorescent assay,LL360-9,Pos|Neg,EXAMPLE,
101464-6,Septin-7 IgG Ab [Presence] in Cerebral spinal fluid by Immunofluorescence,LL360-9,Pos|Neg,EXAMPLE,
101465-3,Septin-7 IgG Ab [Presence] in Serum or Plasma by Immunofluorescence,LL360-9,Pos|Neg,EXAMPLE,
101466-1,Septin-7 IgG Ab [Presence] in Cerebral spinal fluid by Cell binding immunofluorescent assay,LL360-9,Pos|Neg,EXAMPLE,
101467-9,Septin-7 IgG Ab [Presence] in Serum or Plasma by Cell binding immunofluorescent assay,LL360-9,Pos|Neg,EXAMPLE,
101469-5,HBA1+2 gene FIL deletion [Presence] in Blood by Molecular genetics method,LL744-4,Detected|Not det,EXAMPLE,
101470-3,HBA1+2 gene THAI deletion [Presence] in Blood by Molecular genetics method,LL744-4,Detected|Not det,EXAMPLE,
101472-9,Catalase [Presence] in Urine,LL360-9,Pos|Neg,EXAMPLE,
101508-0,Salmonella serogroup D1 [Presence] in Specimen by Immunoassay,LL360-9,Pos|Neg,EXAMPLE,
101517-1,Canine parvovirus DNA VP2 gene [Presence] in Isolate by Sequencing,LL360-9,Pos|Neg,EXAMPLE,
101518-9,Canine Parvovirus 2 DNA [Presence] in Specimen by NAA with probe detection,LL360-9,Pos|Neg,EXAMPLE,
101545-2,FCGR3A gene.p.Phe158 [Identifier] in Blood by Molecular genetics method Nominal,LL744-4,Detected|Not det,EXAMPLE,
101546-0,FCGR3A gene.p.Val158 [Identifier] in Blood by Molecular genetics method Nominal,LL744-4,Detected|Not det,EXAMPLE,
101547-8,Hepatocyte Ag by paraffin 1 in Blood or Tissue Qualitative by Immune stain,LL744-4,Detected|Not det,EXAMPLE,
101548-6,P63 protein [Interpretation] in Blood or Tissue Qualitative,LL744-4,Detected|Not det,EXAMPLE,
101551-0,Schmid fall risk assessment [Interpretation],LL6321-5,Schmid score interp,NORMATIVE,
101552-8,Campylobacter coli DNA [Presence] in Stool by NAA with probe detection,LL744-4,Detected|Not det,EXAMPLE,
101553-6,Aeromonas hydrophila DNA [Presence] in Stool by NAA with probe detection,LL744-4,Detected|Not det,EXAMPLE,
101554-4,Campylobacter jejuni DNA [Presence] in Stool by NAA with probe detection,LL744-4,Detected|Not det,EXAMPLE,
101555-1,Campylobacter upsaliensis DNA [Presence] in Stool by NAA with probe detection,LL744-4,Detected|Not det,EXAMPLE,
101556-9,Candida krusei DNA [Presence] in Urine by NAA with probe detection,LL744-4,Detected|Not det,EXAMPLE,
101557-7,Clostridioides difficile DNA [Presence] in Stool by NAA with probe detection,LL744-4,Detected|Not det,EXAMPLE,
101558-5,Escherichia coli enteroinvasive DNA [Presence] in Stool by NAA with probe detection,LL744-4,Detected|Not det,EXAMPLE,
101559-3,Listeria monocytogenes DNA [Presence] in Stool by NAA with probe detection,LL744-4,Detected|Not det,EXAMPLE,
101560-1,Rotavirus B RNA [Presence] in Stool by NAA with probe detection,LL744-4,Detected|Not det,EXAMPLE,
101561-9,Rotavirus C RNA [Presence] in Stool by NAA with probe detection,LL744-4,Detected|Not det,EXAMPLE,
101562-7,Sapovirus genogroups I+II+IV RNA [Presence] in Stool by NAA with probe detection,LL744-4,Detected|Not det,EXAMPLE,
101563-5,Sapovirus genogroup V RNA [Presence] in Stool by NAA with probe detection,LL744-4,Detected|Not det,EXAMPLE,
101571-8,Candida glabrata+krusei DNA [Presence] in Vaginal fluid by NAA with probe detection,LL744-4,Detected|Not det,EXAMPLE,
101572-6,Prenatal visits for this pregnancy,LL6289-4,Prenatal visits,EXAMPLE,
101573-4,Diet at discharge,LL6288-6,Diet at discharge,EXAMPLE,
101575-9,Delayed cord clamping Newborn,LL5981-7,Yes 2 / No 0 / Don't Know 0,EXAMPLE,
101583-3,ESBL by ceftazidime to ceftazidime-clavulanate IC ratio [Interpretation] by based on lab data in Positive blood culture Qualitative,LL744-4,Detected|Not det,EXAMPLE,
101584-1,Bacterial Vaginosis Associated Bacteria-2+Atopobium vaginae+Megasphaera sp type 1 DNA [Presence] in Vaginal fluid by NAA with probe detection,LL744-4,Detected|Not det,EXAMPLE,
101588-2,Histoplasma capsulatum+Blastomyces dermatitidis Ag [Presence] in Serum or Plasma by Immunoassay,LL744-4,Detected|Not det,EXAMPLE,
101590-8,VKORC1 gene allele [Genotype] in Blood or Tissue by Molecular genetics method Nominal,LL6317-3,VKORC1,EXAMPLE,
101597-3,CMS - Tub and or shower transfer - functional goal [CMS Assessment],LL4971-9,CMS MDS 1.16.1 Functional goals,NORMATIVE,
101597-3,CMS - Tub and or shower transfer - functional goal [CMS Assessment],LL4971-9,CMS MDS 1.16.1 Functional goals,NORMATIVE,101106-3
101597-3,CMS - Tub and or shower transfer - functional goal [CMS Assessment],LL4971-9,CMS MDS 1.16.1 Functional goals,NORMATIVE,101107-1
101605-4,CMS - Nutritional approaches - at discharge during assessment period [CMS Assessment],LL5387-7,CMS IRF_PAI v4.0 - Nutritional Approaches (K0520),NORMATIVE,
101605-4,CMS - Nutritional approaches - at discharge during assessment period [CMS Assessment],LL5387-7,CMS IRF_PAI v4.0 - Nutritional Approaches (K0520),NORMATIVE,101106-3
101605-4,CMS - Nutritional approaches - at discharge during assessment period [CMS Assessment],LL5387-7,CMS IRF_PAI v4.0 - Nutritional Approaches (K0520),NORMATIVE,101107-1
101605-4,CMS - Nutritional approaches - at discharge during assessment period [CMS Assessment],LL5387-7,CMS IRF_PAI v4.0 - Nutritional Approaches (K0520),NORMATIVE,101112-1
101605-4,CMS - Nutritional approaches - at discharge during assessment period [CMS Assessment],LL5387-7,CMS IRF_PAI v4.0 - Nutritional Approaches (K0520),NORMATIVE,101113-9
101608-8,CMS - Determination of Pressure Ulcer during assessment period [CMS Assessment],LL4975-0,CMS MDS Pressure injury risk,NORMATIVE,
101608-8,CMS - Determination of Pressure Ulcer during assessment period [CMS Assessment],LL6336-3,MDS - Pressure Ulcer/Injury Risk,NORMATIVE,101107-1
101608-8,CMS - Determination of Pressure Ulcer during assessment period [CMS Assessment],LL6336-3,MDS - Pressure Ulcer/Injury Risk,NORMATIVE,101113-9
101608-8,CMS - Determination of Pressure Ulcer during assessment period [CMS Assessment],LL6336-3,MDS - Pressure Ulcer/Injury Risk,NORMATIVE,104606-9
101608-8,CMS - Determination of Pressure Ulcer during assessment period [CMS Assessment],LL6336-3,MDS - Pressure Ulcer/Injury Risk,NORMATIVE,104607-7
101610-4,"CMS - Other Ulcers, Wounds and Skin Problems during assessment period [CMS Assessment]",LL4583-2,"CMS_MDS Ulcers, wounds, and skin problems",NORMATIVE,
101616-1,CMS - Participation in assessment and goal setting during assessment period [CMS Assessment],LL6299-3,Assessment participants,NORMATIVE,
101616-1,CMS - Participation in assessment and goal setting during assessment period [CMS Assessment],LL6299-3,Assessment participants,NORMATIVE,101106-3
101616-1,CMS - Participation in assessment and goal setting during assessment period [CMS Assessment],LL6299-3,Assessment participants,NORMATIVE,101110-5
101616-1,CMS - Participation in assessment and goal setting during assessment period [CMS Assessment],LL6299-3,Assessment participants,NORMATIVE,101112-1
101620-3,CMS - Referral has been made to the local contact agency during assessment period [CMS Assessment] Patient education material,LL251-0,OASIS_M0200,NORMATIVE,
101621-1,CMS - Reason referral to local contact agency not made during assessment period [CMS Assessment],LL6302-5,Reason Referral to Local Contact Agency - CMS,NORMATIVE,101106-3
101621-1,CMS - Reason referral to local contact agency not made during assessment period [CMS Assessment],LL6302-5,Reason Referral to Local Contact Agency - CMS,NORMATIVE,101107-1
101621-1,CMS - Reason referral to local contact agency not made during assessment period [CMS Assessment],LL6302-5,Reason Referral to Local Contact Agency - CMS,NORMATIVE,101110-5
101621-1,CMS - Reason referral to local contact agency not made during assessment period [CMS Assessment],LL6302-5,Reason Referral to Local Contact Agency - CMS,NORMATIVE,101112-1
101621-1,CMS - Reason referral to local contact agency not made during assessment period [CMS Assessment],LL6302-5,Reason Referral to Local Contact Agency - CMS,NORMATIVE,101113-9
101624-5,Spermatozoa Agglutinated [Score] in Urine Qualitative by Light microscopy --post ejaculation,LL6334-8,Sperm agglutinated,EXAMPLE,
101625-2,Spermatozoa.motility [Score] in Semen Qualitative by Light microscopy,LL5993-2,Sperm_Motil_Grade,EXAMPLE,
101627-8,Thyroglobulin heterophile Ab interference [Presence] in Serum,LL744-4,Detected|Not det,EXAMPLE,
101632-8,CMS - Nutritional approaches - on admission during assessment period [CMS Assessment],LL5387-7,CMS IRF_PAI v4.0 - Nutritional Approaches (K0520),NORMATIVE,
101632-8,CMS - Nutritional approaches - on admission during assessment period [CMS Assessment],LL5387-7,CMS IRF_PAI v4.0 - Nutritional Approaches (K0520),NORMATIVE,101106-3
101632-8,CMS - Nutritional approaches - on admission during assessment period [CMS Assessment],LL5387-7,CMS IRF_PAI v4.0 - Nutritional Approaches (K0520),NORMATIVE,101110-5
101632-8,CMS - Nutritional approaches - on admission during assessment period [CMS Assessment],LL5387-7,CMS IRF_PAI v4.0 - Nutritional Approaches (K0520),NORMATIVE,101112-1
101662-5,Abnormal Prion Protein [Presence] in Cerebral spinal fluid by RT-QuIC,LL2038-9,Pos|Neg|Indeterm,EXAMPLE,
101666-6,Protein.monoclonal isotype [Identifier] in 24 hour Urine by MS.MALDI-TOF,LL5149-1,Monoclonal protein isotype,EXAMPLE,
101667-4,Protein.monoclonal [Presence] in 24 hour Urine by MS.MALDI-TOF,LL360-9,Pos|Neg,EXAMPLE,
101669-0,Protein.monoclonal isotype [Identifier] in Urine by MS.MALDI-TOF,LL5149-1,Monoclonal protein isotype,EXAMPLE,
101673-2,KPC carbapenemase [Presence] in Isolate by Rapid immunoassay,LL2021-5,Pos|Neg|Invalid,EXAMPLE,
101674-0,OXA-48-like carbapenemase [Presence] in Isolate by Rapid immunoassay,LL2021-5,Pos|Neg|Invalid,EXAMPLE,
101675-7,IMP Carbapenemase [Presence] in Isolate by Rapid immunoassay,LL2021-5,Pos|Neg|Invalid,EXAMPLE,
101676-5,VIM Carbapenemase [Presence] in Isolate by Rapid immunoassay,LL2021-5,Pos|Neg|Invalid,EXAMPLE,
101677-3,NDM Carbapenemase [Presence] in Isolate by Rapid immunoassay,LL2021-5,Pos|Neg|Invalid,EXAMPLE,
101678-1,Blood group antibody screen [Presence] in Blood from Newborn,LL744-4,Detected|Not det,EXAMPLE,
101699-7,"Having strong negative beliefs about yourself, others, or the world [PCL-5]",LL5813-2,Not at all/Extremely,NORMATIVE,
101700-3,Blaming yourself or someone else for the stressful experience or what happened after it [PCL-5],LL5813-2,Not at all/Extremely,NORMATIVE,
101701-1,"Having strong negative feelings such as fear, horror, anger, guilt, or shame [PCL-5]",LL5813-2,Not at all/Extremely,NORMATIVE,
101702-9,Taking too many risks or doing things that could cause you harm [PCL-5],LL5813-2,Not at all/Extremely,NORMATIVE,
101703-7,"Repeated, disturbing, and unwanted memories of the stressful experience [PCL-5]",LL5813-2,Not at all/Extremely,NORMATIVE,
101704-5,"Repeated, disturbing dreams of the stressful experience [PCL-5]",LL5813-2,Not at all/Extremely,NORMATIVE,
101705-2,Suddenly feeling or acting as if the stressful experience were actually happening again (as if you were actually back there reliving it) [PCL-5],LL5813-2,Not at all/Extremely,NORMATIVE,
101706-0,Feeling very upset when something reminded you of the stressful experience [PCL-5],LL5813-2,Not at all/Extremely,NORMATIVE,
101707-8,"Having strong physical reactions when something reminded you of the stressful experience (for example, heart pounding, trouble breathing, sweating) [PCL-5]",LL5813-2,Not at all/Extremely,NORMATIVE,
101708-6,"Avoiding memories, thoughts, or feelings related to the stressful experience [PCL-5]",LL5813-2,Not at all/Extremely,NORMATIVE,
101709-4,"Avoiding external reminders of the stressful experience (for example, people, places, conversations, activities, objects, or situations) [PCL-5]",LL5813-2,Not at all/Extremely,NORMATIVE,
101710-2,Trouble remembering important parts of the stressful experience [PCL-5],LL5813-2,Not at all/Extremely,NORMATIVE,
101711-0,Loss of interest in activities that you used to enjoy [PCL-5],LL5813-2,Not at all/Extremely,NORMATIVE,
101712-8,Feeling distant or cut off from other people [PCL-5],LL5813-2,Not at all/Extremely,NORMATIVE,
101713-6,"Trouble experiencing positive feelings (for example, being unable to feel happiness or have loving feelings for people close to you) [PCL-5]",LL5813-2,Not at all/Extremely,NORMATIVE,
101714-4,"Irritable behavior, angry outbursts, or acting aggressively [PCL-5]",LL5813-2,Not at all/Extremely,NORMATIVE,
101715-1,Being superalert or watchful or on guard [PCL-5],LL5813-2,Not at all/Extremely,NORMATIVE,
101716-9,Feeling jumpy or easily startled [PCL-5],LL5813-2,Not at all/Extremely,NORMATIVE,
101717-7,Having difficulty concentrating [PCL-5],LL5813-2,Not at all/Extremely,NORMATIVE,
101718-5,Trouble falling or staying asleep [PCL-5],LL5813-2,Not at all/Extremely,NORMATIVE,
101740-9,3-Hydroxy-3-Methylglutaryl-coenzyme A reductase Ab in Serum by Immunoassay,LL744-4,Detected|Not det,EXAMPLE,
101744-1,Toxoplasma gondii DNA [Presence] in Plasma by NAA with probe detection,LL3950-4,Present | Absent,EXAMPLE,
101745-8,Dipeptidyl aminopeptidase-like protein 6 Ab [Presence] in Serum by Cell binding immunofluorescent assay,LL3950-4,Present | Absent,EXAMPLE,
101746-6,PCA-Tr Ab [Presence] in Serum by Cell binding immunofluorescent assay,LL3950-4,Present | Absent,EXAMPLE,
101747-4,PCA-Tr Ab [Titer] in Serum by Cell binding immunofluorescent assay,LL360-9,Pos|Neg,EXAMPLE,
101753-2,Dermatophytes DNA [Presence] in Specimen by NAA with probe detection,LL360-9,Pos|Neg,EXAMPLE,
101754-0,Trichophyton tonsurans DNA [Presence] in Specimen by NAA with probe detection,LL360-9,Pos|Neg,EXAMPLE,
101755-7,Trichophyton equinum DNA [Presence] in Specimen by NAA with probe detection,LL360-9,Pos|Neg,EXAMPLE,
101756-5,Trichophyton interdigitale DNA [Presence] in Specimen by NAA with probe detection,LL360-9,Pos|Neg,EXAMPLE,
101757-3,Trichophyton mentagrophytes DNA [Presence] in Specimen by NAA with probe detection,LL360-9,Pos|Neg,EXAMPLE,
101758-1,Trichophyton quinckeanum DNA [Presence] in Specimen by NAA with probe detection,LL360-9,Pos|Neg,EXAMPLE,
101761-5,Trichophyton concentricum DNA [Presence] in Specimen by NAA with probe detection,LL360-9,Pos|Neg,EXAMPLE,
101762-3,Trichophyton bullosum DNA [Presence] in Specimen by NAA with probe detection,LL360-9,Pos|Neg,EXAMPLE,
101763-1,Trichophyton benhamiae (Afr.) DNA [Presence] in Specimen by NAA with probe detection,LL360-9,Pos|Neg,EXAMPLE,
101764-9,Trichophyton benhamiae (white) DNA [Presence] in Specimen by NAA with probe detection,LL360-9,Pos|Neg,EXAMPLE,
101765-6,Trichophyton benhamiae (yellow) DNA [Presence] in Specimen by NAA with probe detection,LL360-9,Pos|Neg,EXAMPLE,
101766-4,Trichophyton erinacei DNA [Presence] in Specimen by NAA with probe detection,LL360-9,Pos|Neg,EXAMPLE,
101767-2,Trichophyton verrucosum DNA [Presence] in Specimen by NAA with probe detection,LL360-9,Pos|Neg,EXAMPLE,
101768-0,Trichophyton eriotrephon DNA [Presence] in Specimen by NAA with probe detection,LL360-9,Pos|Neg,EXAMPLE,
101769-8,Trichophyton rubrum DNA [Presence] in Specimen by NAA with probe detection,LL360-9,Pos|Neg,EXAMPLE,
101770-6,Trichophyton violaceum DNA [Presence] in Specimen by NAA with probe detection,LL360-9,Pos|Neg,EXAMPLE,
101771-4,Epidermophyton floccosum DNA [Presence] in Specimen by NAA with probe detection,LL360-9,Pos|Neg,EXAMPLE,
101772-2,Microsporum canis DNA [Presence] in Specimen by NAA with probe detection,LL360-9,Pos|Neg,EXAMPLE,
101773-0,Microsporum audouinii DNA [Presence] in Specimen by NAA with probe detection,LL360-9,Pos|Neg,EXAMPLE,
101774-8,Microsporum ferrugineum DNA [Presence] in Specimen by NAA with probe detection,LL360-9,Pos|Neg,EXAMPLE,
101775-5,Nannizzia fulva DNA [Presence] in Specimen by NAA with probe detection,LL360-9,Pos|Neg,EXAMPLE,
101776-3,Nannizzia gypsea DNA [Presence] in Specimen by NAA with probe detection,LL360-9,Pos|Neg,EXAMPLE,
101777-1,Nannizzia incurvata DNA [Presence] in Specimen by NAA with probe detection,LL360-9,Pos|Neg,EXAMPLE,
101778-9,Nannizzia persicolor DNA [Presence] in Specimen by NAA with probe detection,LL360-9,Pos|Neg,EXAMPLE,
101779-7,Deprecated Candida albicans DNA [Presence] in Specimen by NAA with probe detection,LL360-9,Pos|Neg,EXAMPLE,
101780-5,Deprecated Candida parapsilosis DNA [Presence] in Specimen by NAA with probe detection,LL360-9,Pos|Neg,EXAMPLE,
101781-3,Candida guilliermondii DNA [Presence] in Specimen by NAA with probe detection,LL360-9,Pos|Neg,EXAMPLE,
101782-1,Fusarium solani DNA [Presence] in Specimen by NAA with probe detection,LL360-9,Pos|Neg,EXAMPLE,
101783-9,Fusarium oxysporum DNA [Presence] in Specimen by NAA with probe detection,LL360-9,Pos|Neg,EXAMPLE,
101784-7,Scopulariopsis brevicaulis DNA [Presence] in Specimen by NAA with probe detection,LL360-9,Pos|Neg,EXAMPLE,
101800-1,Lysergate diethylamide/Creatinine [Mass Ratio] in Urine by Confirmatory method,LL5243-2,Pos(+)|Neg(0),EXAMPLE,
101802-7,Brucella sp IgA Ab [Presence] in Serum,LL2010-8,Pos|Neg|Borderline,EXAMPLE,
101807-6,Malnutrition risk screen results indicator,LL6346-2,Malnutrition screening risk,NORMATIVE,
101808-4,Xylazine [Mass/volume] in Urine by Confirmatory method,LL360-9,Pos|Neg,EXAMPLE,
101813-4,"2,6-dimethylaniline [Mass/volume] in Urine by Confirmatory method",LL360-9,Pos|Neg,EXAMPLE,
101819-1,Nutritional assessment for malnutrition status,LL6347-0,Malnutrition assessment,NORMATIVE,
